smiles,logP,MW
CC(O)C1=CNC(=O)N1,-0.244,128.13
CN1CC1C(N)=O,-1.214,100.12
CC[NH+]1CCN(c2cc(CNC(=O)Nc3cn[nH]c3)cc[nH+]2)CC1,-0.7297,331.42
O=C1CC2CCN2C1=O,-0.44,125.13
N=C1NC(=O)CNC=C1,-0.803,125.13
OCC1C2CC1N2C=O,-0.792,127.14
CCC1NC1CC(N)=O,-0.388,128.18
CCOC(C=O)C(N)=O,-0.924,131.13
O=CNC(=O)CC1CO1,-0.952,129.11
C1C[C@]2(CO1)C[C@H]([NH+]1CCC(C[NH2+]C3CC3)CC1)CCO2,-0.6548,296.46
OCC1OC2C(C=O)C12,-0.809,128.13
COc1[nH]c(c(n1)O)N,-0.294,129.12
O=CC1CN2CC12,-0.501,97.12
c1coc2n1nnn2,-0.283,110.08
CC12NC3C(=O)C1C23O,-1.34,125.13
NC(=O)C1(O)C2CCC12,-0.757,127.14
CNC(=O)CNC(=O)CCc1nnc(-c2cc(C)nn2C)o1,-0.42668,306.33
OCC12CC(C1)OC2=O,-0.316,128.13
CC1CNC1C(=O)C#N,-0.313,124.14
[NH3+]CCOCCN1CCS(=O)CC1,-1.6908,207.32
O=CC1CN1CCC#N,-0.217,124.14
OCC(=O)C12CC1OC2,-0.663,128.13
Cc1ccnc(NNC(=O)C[NH+](C)C(C)C)c1,-0.24378,237.33
[O-]C(=O)C1CCCC[NH2+]1,-2.148,129.16
COc1[nH]c(c(n1)N)O,-0.294,129.12
NC(=O)N1CC1CC#N,-0.337,125.13
CC12NC1C(=O)CC2O,-0.949,127.14
C1CN2C1C1C3OC1C23,-0.16,123.15
CC[C@@H]1C[NH+]2CCCC[C@@H]2CN1C[C@@H]1CC[NH+](C(C)C)C1,-0.1688,295.52
CC[NH2+][C@H](C)c1nc([C@@H]2C[NH+](C)CCN2C)no1,-1.7849,255.37
CC(C)C[NH+]1CCN([C@@H]2CC[C@]([NH3+])(C(=O)[O-])C2)CC1,-2.874,270.4
CNC(=O)C(=O)CO,-1.706,117.1
O=C1C2CC(N2)C11CO1,-0.931,125.13
CC(CNCC#N)C=O,-0.065,126.16
OCC1(O)CC2CC12O,-1.136,130.14
OC1(COC1C#N)C#N,-0.837,124.1
OC12CC1OC(=N)OC2,-0.529,129.11
CC1=C(N)C(=N)NN=N1,-0.825,125.14
NC(=O)C1CC1C#N,-0.369,110.12
CC/[NH+]=C(/NCc1ccc(C)cc1C)N1CC[C@@H](O)C1,-0.08386,276.4
CC(O)C1(O)CC1,-0.108,102.13
CC12CNC1C(=O)OC2,-0.479,127.14
CC12OC1CC(=O)C2O,-0.522,128.13
Cn1cc(C(=O)NCCc2ccccc2)c(C(=O)[O-])n1,-0.2439,272.28
CN1C2C1C1(C)C2N1C,-0.245,124.19
CN(C)Cc1nc[nH]n1,-0.134,126.16
O=CC12CN1CC2C#N,-0.607,122.13
OC1C2NC1C2O,-1.938,101.1
CC1=NC(=O)NC(=N)O1,-0.849,127.1
CC12C(O)C1OC2=O,-0.707,114.1
CCC(O)C1NC1C#N,-0.379,126.16
O=C1NC2COCC2N1,-0.933,128.13
O=C(NCCCO)C(=O)NCc1ccc2c(c1)OCO2,-0.4699,280.28
CN(CC([O-])=O)C(N)=[NH2+],-4.258,131.13
C[C@@]1(C(=O)N[C@@H](CO)C(=O)[O-])CCCO1,-2.2175,216.21
OC12CC3CC1C23O,-0.498,112.13
C(CN=C(C=O)N)CO,-1.075,130.15
O=C1C2CC3(CN3)C1O2,-0.931,125.13
C(c1c(n[nH]n1)C#N)O,-0.831,124.1
CC1(CO)NC1(C)C=O,-0.702,129.16
CC(C)[NH2+]C[C@@H](C)[C@@H](C)[NH+](C)CC1CC1,-0.0925,214.4
ON=C1C2CC3CN2C13,-0.097,124.14
C[C@@H]1OCC[C@@H]1C(=O)NC1CC[NH+](CC(N)=O)CC1,-1.9398,270.35
O=C(C#C)C1CC2NC12,-0.451,121.14
O=CC1OC2CC2C1=O,-0.458,126.11
C1CN1C(=O)OCC#N,-0.038,126.11
CN1CC1C1=NCCO1,-0.271,126.16
COC1=CC(=N)N=NN1,-0.707,126.12
OC1=CC(F)=NC(=N)O1,-0.001,130.08
O=C(CN1C(=O)N2CC[NH+]=C2c2ccccc21)NC1CCCC1,-0.1718,313.38
O=C([O-])C1=NN=C2C=CC=C[C@@H]21,-0.7109,161.14
[O-]C(=O)C1C[NH2+]CC=C1,-2.514,127.14
Cc1cc(C(=O)N2CC[NH+](CCC(C)C)CC2)c2c(=O)[nH]n(C)c2n1,-0.04318,346.46
CC1C(NC1=O)C(C)=O,-0.29,127.14
C#CC12C3CN1C=NC23,-0.286,118.14
COc1cc2c(cc1OC)[C@]13CCN4C(=O)C(=O)[C@@H](C[C@@H]41)[C@H]1[C@@H]3N2C(=O)C[C@H]1OCC(=O)[O-],-0.9847,455.44
CN1CC11CC2OC12,-0.158,111.14
OCC(C=O)C(=O)CO,-1.645,132.12
CC1NC1C(C)(O)C#C,-0.269,125.17
CN1CC(=O)C12COC2,-0.73,127.14
CCNc1nc([nH]n1)N,-0.181,127.15
Cn1c(=O)c2nc(C[NH+]3CCCCC3)[nH]c2n(C)c1=O,-1.4709,278.34
O=C(N[C@H]1CC[NH2+]C1)[C@@H]1CCOC1,-1.5252,185.25
CC(=O)c1cccc(NC(=O)[C@@H]2CCCN(C(=O)[C@H]3C=c4ccccc4=[NH+]3)C2)c1,-0.3706,390.46
C1NC1C1OCCCO1,-0.279,129.16
O=CC1CCOC1C=O,-0.211,128.13
NC1=NC(CCO1)C#N,-0.386,125.13
ON=C1C(O)C2COC12,-0.794,129.12
CC12NC3C1OC2C3=O,-0.933,125.13
O=C(CCn1cnnc1)NCc1cc2n(n1)CC[NH+](C1CCCCC1)C2,-0.0877,358.47
CC1(O)CC2NC(=O)C12,-0.744,127.14
N=C1CCC(=O)C(=O)N1,-0.557,126.11
CC(O)C1(O)CN2CC12,-1.204,129.16
C(COC(=O)C=O)C#N,-0.358,127.1
Cn1c(ccn1)OC=O,-0.045,126.11
